Uniform Name,Type,Range/Hint,Default Value,Description,Shader Name
_MainTex,sampler2D,hint_albedo,white texture,Base texture,SpriteOpaque
_AlphaCutting,float,"hint_range(0.0, 1.0)",0.9,Alpha threshold for cutting,SpriteOpaque
_Color,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Base color tint,SpriteOpaque
_TextureOpacity,float,"hint_range(0.0, 1.0)",0.0,Texture blending opacity,SpriteOpaque
_HorizontalFlip,bool,hint_toggle,false,Horizontal flip toggle,SpriteOpaque
_VerticalFlip,bool,hint_toggle,false,Vertical flip toggle,SpriteOpaque
topColor,vec3,-,"vec3(1.0, 0.0, 0.0)",Top surface color,WallDepthShader
side1Color,vec3,-,"vec3(0.0, 0.0, 0.0)",Side color 1,WallDepthShader
side2Color,vec3,-,"vec3(0.0, 1.0, 0.0)",Side color 2,WallDepthShader
lightColor,vec3,-,"vec3(0.0, 0.0, 1.0)",Light color for diffuse,WallDepthShader
_BaseMap,sampler2D,hint_albedo,white texture,Base texture map,Simple Lit Overlay
_BaseColor,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Base color,Simple Lit Overlay
_Cutoff,float,"hint_range(0.0, 1.0)",0.5,Alpha cutoff threshold,Simple Lit Overlay
_Smoothness,float,"hint_range(0.0, 1.0)",0.5,Surface smoothness,Simple Lit Overlay
_SpecColor,vec4,hint_color,"vec4(0.5, 0.5, 0.5, 0.5)",Specular color,Simple Lit Overlay
_SpecGlossMap,sampler2D,-,white texture,Specular/gloss map,Simple Lit Overlay
_SpecularHighlights,float,-,1.0,Specular highlight intensity,Simple Lit Overlay
_BumpMap,sampler2D,hint_normal,bump texture,Normal map,Simple Lit Overlay
_BumpScale,float,-,1.0,Normal map scale,Simple Lit Overlay
_EmissionColor,vec4,hint_color,"vec4(0.0, 0.0, 0.0, 0.0)",Emission color,Simple Lit Overlay
_EmissionMap,sampler2D,-,white texture,Emission map,Simple Lit Overlay
_AlphaClip,bool,hint_toggle,false,Alpha clipping toggle,Simple Lit Overlay
_ReceiveShadows,bool,hint_toggle,true,Shadow receiving toggle,Simple Lit Overlay
_MainTex,sampler2D,hint_albedo,white texture,Base texture,SpriteOpaqueIcon
_AlphaCutting,float,"hint_range(0.0, 1.0)",0.9,Alpha threshold for cutting,SpriteOpaqueIcon
_Color,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Base color tint,SpriteOpaqueIcon
_TexColor,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Texture color,SpriteOpaqueIcon
_TextureOpacity,float,"hint_range(0.0, 1.0)",1.0,Texture blending opacity,SpriteOpaqueIcon
_HorizontalFlip,bool,hint_toggle,false,Horizontal flip toggle,SpriteOpaqueIcon
_VerticalFlip,bool,hint_toggle,false,Vertical flip toggle,SpriteOpaqueIcon
_MainTex,sampler2D,hint_albedo,white texture,Base texture,SpriteColorShadow
