Uniform Name,Type,Range/Hint,Default Value,Description
_BaseMap,sampler2D,hint_albedo,-,Base texture
_BaseColor,vec4,hint_color,"vec4(1.0, 1.0, 1.0, 1.0)",Base color tint
_BumpMap,sampler2D,hint_normal,-,Normal map
_Scale,float,"hint_range(0, 3)",1.0,Normal map scale
_Smoothness,float,"hint_range(0, 1)",0.5,Surface smoothness
_Metallic,float,"hint_range(0, 1)",0.0,Metallic property
_SpecColor,vec4,hint_color,"vec4(0.502, 0.502, 0.502, 1.0)",Specular color
_EmissionMap,sampler2D,hint_black,-,Emission map
_EmissionColor,vec4,hint_color,"vec4(0.0, 0.0, 0.0, 0.0)",Emission color
_Tilling,float,-,1.0,Texture tiling
_Blending,float,-,1.0,Triplanar blending
_Hue,float,"hint_range(0, 360)",0.0,Hue adjustment
_Saturation,float,"hint_range(0, 1)",1.0,Saturation adjustment
_Contrast,float,"hint_range(0, 1)",1.0,Contrast adjustment
_Occlusion,float,-,1.0,Occlusion strength
